reference,candidate,epoch,field,status,max_absolute_error,max_relative_error,index,reference_value,candidate_value,absolute_tolerance,relative_tolerance,message
cuda,polyhok,0,weights,OK,0.0,0.0,0,-0.148978099,-0.148978099,1e-07,1e-07,
cuda,polyhok,0,biases,OK,0.0,0.0,0,0.0,0.0,1e-07,1e-07,
cuda,polyhok,1,weights,OK,5.740000000031831e-07,0.004248406847432215,33703,0.122916356,0.122915782,0.0002,0.0002,
cuda,polyhok,1,biases,OK,3.400000000001492e-07,0.01158038147138965,295,0.00114034,0.00114,0.0002,0.0002,
cuda,polyhok,1,grad_w,OK,0.18207263899999937,6.916620106211733,18215,6.441295624,6.623368263,0.2,0.002,
cuda,polyhok,1,grad_b,OK,0.1152839659999998,0.13208556980747824,295,23.995937347,24.111221313,0.2,0.002,
cuda,polyhok,2,weights,OK,4.4699999995900797e-07,0.00326797385620905,3587,0.342919171,0.342919618,0.0002,0.0002,
cuda,polyhok,2,biases,OK,2.030000000000521e-07,0.021834061135371202,370,-0.001631673,-0.001631876,0.0002,0.0002,
cuda,polyhok,2,grad_w,OK,0.20034980799999857,1.2449225368385637,36775,17.458164215,17.658514023,0.2,0.002,
cuda,polyhok,2,grad_b,OK,0.10924720800000287,0.06242473437661944,295,20.680673599,20.789920807,0.2,0.002,
cuda,polyhok,3,weights,OK,6.56000000015533e-07,0.0024564420191952566,33703,0.126625866,0.12662521,0.0002,0.0002,
cuda,polyhok,3,biases,OK,3.709999999999868e-07,0.012642225031605576,295,-0.000385594,-0.000385965,0.0002,0.0002,
cuda,polyhok,3,grad_w,OK,0.08332824700000074,1.665103688750229,36808,-11.650933266,-11.734261513,0.2,0.002,
cuda,polyhok,3,grad_b,OK,0.05101394700000128,0.026022592101979082,328,-13.718755722,-13.769769669,0.2,0.002,
cuda,polyhok,4,weights,OK,8.200000000124774e-07,0.002189658076469548,33575,0.149056986,0.149056166,0.0002,0.0002,
cuda,polyhok,4,biases,OK,5.000000000005e-07,0.1323529411764706,376,-0.008863581,-0.008863081,0.0002,0.0002,
cuda,polyhok,4,grad_w,OK,0.17861556999999983,14.880515257024035,35859,-12.450727463,-12.272111893,0.2,0.002,
cuda,polyhok,4,grad_b,OK,0.10353851300000372,0.6447219425103943,275,-32.297168732,-32.193630219,0.2,0.002,
cuda,polyhok,5,weights,OK,8.800000000086516e-07,0.017232713434336258,33575,0.149583519,0.149582639,0.0002,0.0002,
cuda,polyhok,5,biases,OK,4.5499999999989993e-07,0.008439897698209811,376,-0.009222657,-0.009222202,0.0002,0.0002,
cuda,polyhok,5,grad_w,OK,0.20098304800000122,55.17833150955155,36775,17.862998962,18.06398201,0.2,0.002,
cuda,polyhok,5,grad_b,OK,0.11206626899999961,0.10088561635072514,295,23.317234039,23.429300308,0.2,0.002,
cuda,pytorch,0,weights,OK,0.0,0.0,0,-0.148978099,-0.148978099,1e-07,1e-07,
cuda,pytorch,0,biases,OK,0.0,0.0,0,0.0,0.0,1e-07,1e-07,
cuda,pytorch,1,weights,OK,5.809999999994986e-07,0.002748969136573886,33703,0.122916356,0.122915775,0.0002,0.0002,
cuda,pytorch,1,biases,OK,3.420000000001807e-07,0.01158038147138965,295,0.00114034,0.001139998,0.0002,0.0002,
cuda,pytorch,1,grad_w,OK,0.18192958800000003,6.896217644226624,18215,6.441295624,6.623225212,0.2,0.002,
cuda,pytorch,1,grad_b,OK,0.11509704599999893,0.13279360789171288,295,23.995937347,24.111034393,0.2,0.002,
cuda,pytorch,2,weights,OK,3.979999999986772e-07,0.0027233115468410477,33656,0.039262474,0.039262872,0.0002,0.0002,
cuda,pytorch,2,biases,OK,3.16000000000205e-07,0.010452961672473915,376,-0.007610951,-0.007610635,0.0002,0.0002,
cuda,pytorch,2,grad_w,OK,0.2007026670000016,1.0473969637887413,36775,17.458164215,17.658866882,0.2,0.002,
cuda,pytorch,2,grad_b,OK,0.10950470000000223,0.05077563803782222,295,20.680673599,20.790178299,0.2,0.002,
cuda,pytorch,3,weights,OK,4.77000000026484e-07,0.002123142250530898,12947,-0.142950386,-0.142949909,0.0002,0.0002,
cuda,pytorch,3,biases,OK,2.9500000000085014e-07,0.008849557522123888,376,-0.008352728,-0.008352433,0.0002,0.0002,
cuda,pytorch,3,grad_w,OK,0.10566806799999995,226.35978756825494,33476,-5.004883766,-4.899215698,0.2,0.002,
cuda,pytorch,3,grad_b,OK,0.05979585699999923,0.09836431742854437,324,-4.837281704,-4.777485847,0.2,0.002,
cuda,pytorch,4,weights,OK,9.610000000076502e-07,0.0025265285497725882,33732,0.087818377,0.087817416,0.0002,0.0002,
cuda,pytorch,4,biases,OK,6.289999999998207e-07,0.01029411764705882,324,-0.002567208,-0.002567837,0.0002,0.0002,
cuda,pytorch,4,grad_w,OK,0.1785717009999992,10.647786045826273,35859,-12.450727463,-12.272155762,0.2,0.002,
cuda,pytorch,4,grad_b,OK,0.10990333600000035,0.6474897434010446,320,-12.288140297,-12.398043633,0.2,0.002,
cuda,pytorch,5,weights,OK,7.750000000084079e-07,0.01098585481438932,5105,-0.424447715,-0.42444849,0.0002,0.0002,
cuda,pytorch,5,biases,OK,4.770000000004632e-07,0.02429667519181584,376,-0.009222657,-0.00922218,0.0002,0.0002,
cuda,pytorch,5,grad_w,OK,0.20095443800000012,31.72408226155484,36775,17.862998962,18.0639534,0.2,0.002,
cuda,pytorch,5,grad_b,OK,0.11202240000000074,0.10068122561402004,295,23.317234039,23.429256439,0.2,0.002,
polyhok,pytorch,0,weights,OK,0.0,0.0,0,-0.148978099,-0.148978099,1e-07,1e-07,
polyhok,pytorch,0,biases,OK,0.0,0.0,0,0.0,0.0,1e-07,1e-07,
polyhok,pytorch,1,weights,OK,3.6500000000216914e-07,0.0014930944382231192,34067,-0.081135809,-0.081136174,0.0002,0.0002,
polyhok,pytorch,1,biases,OK,1.9799999999986495e-07,0.0024570024570025116,275,-0.004439561,-0.004439759,0.0002,0.0002,
polyhok,pytorch,1,grad_w,OK,0.0015182490000000826,4.000000000000001,40052,-112.692710876,-112.691192627,0.2,0.002,
polyhok,pytorch,1,grad_b,OK,0.0010833739999895897,0.0006254280622577337,384,-157.968811035,-157.967727661,0.2,0.002,
polyhok,pytorch,2,weights,OK,3.5700000000638e-07,0.005971769815418013,463,0.353963107,0.353963464,0.0002,0.0002,
polyhok,pytorch,2,biases,OK,1.3099999999956896e-07,0.013392857142857205,376,-0.007610766,-0.007610635,0.0002,0.0002,
polyhok,pytorch,2,grad_w,OK,0.06315338599999998,18.13942719945121,3084,-1.432063222,-1.495216608,0.2,0.002,
polyhok,pytorch,2,grad_b,OK,0.06315231300000002,0.03364216424593294,12,-1.877177477,-1.94032979,0.2,0.002,
polyhok,pytorch,3,weights,OK,6.150000000024192e-07,0.0022928955244779004,8487,0.031311646,0.031312261,0.0002,0.0002,
polyhok,pytorch,3,biases,OK,4.259999999999854e-07,0.003745318352059942,295,-0.000385965,-0.000385539,0.0002,0.0002,
polyhok,pytorch,3,grad_w,OK,0.10569667800000015,1061.4839845124957,33476,-5.004912376,-4.899215698,0.2,0.002,
polyhok,pytorch,3,grad_b,OK,0.05984592499999941,0.07427454142153957,324,-4.837331772,-4.777485847,0.2,0.002,
polyhok,pytorch,4,weights,OK,9.680000000039657e-07,0.001611110216049919,33732,0.087818384,0.087817416,0.0002,0.0002,
polyhok,pytorch,4,biases,OK,6.559999999999205e-07,0.14067796610169492,324,-0.002567181,-0.002567837,0.0002,0.0002,
polyhok,pytorch,4,grad_w,OK,0.16858291600000008,4.144487001138191,15040,-4.655273438,-4.823856354,0.2,0.002,
polyhok,pytorch,4,grad_b,OK,0.10994911200000068,0.2416428250659181,320,-12.288094521,-12.398043633,0.2,0.002,
polyhok,pytorch,5,weights,OK,7.14999999984478e-07,0.006356396580697087,1999,0.367179215,0.3671785,0.0002,0.0002,
polyhok,pytorch,5,biases,OK,5.429999999999845e-07,0.015724067968551754,320,-0.001971433,-0.00197089,0.0002,0.0002,
polyhok,pytorch,5,grad_w,OK,0.18236207900000068,5.077961051399384,33783,7.588056564,7.405694485,0.2,0.002,
polyhok,pytorch,5,grad_b,OK,0.10838699399999996,0.06817572412391071,375,13.15864563,13.050258636,0.2,0.002,
