category,value,tolerance,status
configuration_equal,1,1,OK
train_predictions,85,89,OK
train_prediction_mismatch_rate,9.65570044e-06,1e-05,OK
train_probability_max_abs_error,7.09295273e-06,0.0002,OK
train_probability_mean_abs_error,1.18550006e-06,informative,OK
test_predictions,18,22,OK
test_prediction_mismatch_rate,8.19332608e-06,1e-05,OK
test_probability_max_abs_error,6.31809235e-06,0.0002,OK
test_probability_mean_abs_error,1.18611092e-06,informative,OK
train_accuracy_abs_error,1.703948e-06,1e-05,OK
train_precision_abs_error,1.364835e-06,1e-05,OK
train_recall_abs_error,2.14347e-07,1e-05,OK
train_f1_abs_error,8.21164e-07,1e-05,OK
train_tn_difference,16,89,OK
train_fp_difference,16,89,OK
train_fn_difference,1,89,OK
train_tp_difference,1,89,OK
test_accuracy_abs_error,2.731109e-06,1e-05,OK
test_precision_abs_error,2.074441e-06,1e-05,OK
test_recall_abs_error,8.59261e-07,1e-05,OK
test_f1_abs_error,1.6786e-06,1e-05,OK
test_tn_difference,5,22,OK
test_fp_difference,5,22,OK
test_fn_difference,1,22,OK
test_tp_difference,1,22,OK
