metric,unit,implementation_a,implementation_b,samples_a,samples_b,mean_a,mean_b,pooled_standard_deviation,mean_difference_a_minus_b,cohen_d,absolute_cohen_d,classification,lower_mean
application_total,ms,cuda,polyhok,100,100,665459.76575,717205.33574,4489.706879014795,-51745.56998999999,-11.525378245039207,11.525378245039207,grande,cuda
batch_average,ms,cuda,polyhok,100,100,24.28711162343,26.05980749031,0.15785204678020945,-1.7726958668799995,-11.23011011284682,11.23011011284682,grande,cuda
batch_loading,ms,cuda,polyhok,100,100,46731.57712,74124.28028,5878.023151543422,-27392.703160000005,-4.6601897362053375,4.6601897362053375,grande,cuda
compilation,ms,cuda,polyhok,100,100,8379.294679999999,15552.56975,3067.417680033746,-7173.2750700000015,-2.3385387378744866,2.3385387378744866,grande,cuda
cpu_gpu_transfer,ms,cuda,polyhok,100,100,23845.973509999996,31074.35581,3835.0079689249396,-7228.382300000005,-1.884841533204512,1.884841533204512,grande,cuda
epoch_average,ms,cuda,polyhok,100,100,6549.5752229,7020.619937099999,43.1806366077695,-471.04471419999936,-10.908702400076338,10.908702400076338,grande,cuda
gpu_compute,ms,cuda,polyhok,100,100,628787.81785,671904.60222,3000.9169311734076,-43116.78437000001,-14.367870007364928,14.367870007364928,grande,cuda
gpu_cpu_transfer,ms,cuda,polyhok,100,100,83.98382,3910.2322999999997,139.11869967455922,-3826.2484799999997,-27.503480761038983,27.503480761038983,grande,cuda
model_setup,ms,cuda,polyhok,100,100,334.13906000000003,430.11332999999996,21.836478379513014,-95.97426999999993,-4.395134981565663,4.395134981565663,grande,cuda
prediction_total,ms,cuda,polyhok,100,100,2180.65276,6159.10941,222.44538471540375,-3978.45665,-17.88509415508904,17.88509415508904,grande,cuda
training_total,ms,cuda,polyhok,100,100,654957.52229,702061.9937100001,4318.063660776949,-47104.471420000074,-10.908702400076372,10.908702400076372,grande,cuda
