implementation,run,warmup,metric,milliseconds
cuda,1,1,compilation,8966.574000000
cuda,1,1,model_setup,353.334000000
cuda,1,1,batch_loading,50540.543000000
cuda,1,1,training_total,654384.004000000
cuda,1,1,epoch_average,6543.840040000
cuda,1,1,batch_average,24.258757435
cuda,1,1,prediction_total,2207.891000000
cuda,1,1,cpu_gpu_transfer,22994.591000000
cuda,1,1,gpu_cpu_transfer,103.140000000
cuda,1,1,gpu_compute,628489.760000000
cuda,1,1,application_total,664905.471000000
cuda,2,0,compilation,8342.418000000
cuda,2,0,model_setup,341.619000000
cuda,2,0,batch_loading,47986.992000000
cuda,2,0,training_total,653100.639000000
cuda,2,0,epoch_average,6531.006390000
cuda,2,0,batch_average,24.211254870
cuda,2,0,prediction_total,2167.702000000
cuda,2,0,cpu_gpu_transfer,21697.384000000
cuda,2,0,gpu_cpu_transfer,102.742000000
cuda,2,0,gpu_compute,628778.327000000
cuda,2,0,application_total,663428.194000000
cuda,3,0,compilation,8518.189000000
cuda,3,0,model_setup,362.497000000
cuda,3,0,batch_loading,48461.698000000
cuda,3,0,training_total,654011.862000000
cuda,3,0,epoch_average,6540.118620000
cuda,3,0,batch_average,24.244698959
cuda,3,0,prediction_total,2164.130000000
cuda,3,0,cpu_gpu_transfer,22554.108000000
cuda,3,0,gpu_cpu_transfer,102.934000000
cuda,3,0,gpu_compute,628746.341000000
cuda,3,0,application_total,664285.476000000
cuda,4,0,compilation,8332.831000000
cuda,4,0,model_setup,371.194000000
cuda,4,0,batch_loading,51762.224000000
cuda,4,0,training_total,663445.013000000
cuda,4,0,epoch_average,6634.450130000
cuda,4,0,batch_average,24.606531747
cuda,4,0,prediction_total,2804.623000000
cuda,4,0,cpu_gpu_transfer,35752.257000000
cuda,4,0,gpu_cpu_transfer,102.302000000
cuda,4,0,gpu_compute,625946.144000000
cuda,4,0,application_total,675131.145000000
cuda,5,0,compilation,8313.517000000
cuda,5,0,model_setup,323.371000000
cuda,5,0,batch_loading,45644.821000000
cuda,5,0,training_total,659177.371000000
cuda,5,0,epoch_average,6591.773710000
cuda,5,0,batch_average,24.449258290
cuda,5,0,prediction_total,2158.010000000
cuda,5,0,cpu_gpu_transfer,29606.271000000
cuda,5,0,gpu_cpu_transfer,72.123000000
cuda,5,0,gpu_compute,627593.300000000
cuda,5,0,application_total,669292.047000000
cuda,6,0,compilation,8146.560000000
cuda,6,0,model_setup,300.478000000
cuda,6,0,batch_loading,44338.036000000
cuda,6,0,training_total,658162.706000000
cuda,6,0,epoch_average,6581.627060000
cuda,6,0,batch_average,24.417010223
cuda,6,0,prediction_total,2143.018000000
cuda,6,0,cpu_gpu_transfer,29046.481000000
cuda,6,0,gpu_cpu_transfer,72.222000000
cuda,6,0,gpu_compute,627552.770000000
cuda,6,0,application_total,668632.121000000
cuda,7,0,compilation,8522.235000000
cuda,7,0,model_setup,329.939000000
cuda,7,0,batch_loading,44263.656000000
cuda,7,0,training_total,658487.288000000
cuda,7,0,epoch_average,6584.872880000
cuda,7,0,batch_average,24.433026654
cuda,7,0,prediction_total,2293.516000000
cuda,7,0,cpu_gpu_transfer,29807.641000000
cuda,7,0,gpu_cpu_transfer,87.060000000
cuda,7,0,gpu_compute,627583.372000000
cuda,7,0,application_total,669530.410000000
cuda,8,0,compilation,8497.377000000
cuda,8,0,model_setup,324.903000000
cuda,8,0,batch_loading,53499.270000000
cuda,8,0,training_total,657025.145000000
cuda,8,0,epoch_average,6570.251450000
cuda,8,0,batch_average,24.356342491
cuda,8,0,prediction_total,2126.485000000
cuda,8,0,cpu_gpu_transfer,26036.025000000
cuda,8,0,gpu_cpu_transfer,74.298000000
cuda,8,0,gpu_compute,628281.289000000
cuda,8,0,application_total,667578.470000000
cuda,9,0,compilation,8368.748000000
cuda,9,0,model_setup,317.852000000
cuda,9,0,batch_loading,47385.989000000
cuda,9,0,training_total,660320.334000000
cuda,9,0,epoch_average,6603.203340000
cuda,9,0,batch_average,24.491442305
cuda,9,0,prediction_total,2376.265000000
cuda,9,0,cpu_gpu_transfer,31355.324000000
cuda,9,0,gpu_cpu_transfer,77.421000000
cuda,9,0,gpu_compute,627014.683000000
cuda,9,0,application_total,671443.613000000
cuda,10,0,compilation,8415.854000000
cuda,10,0,model_setup,340.327000000
cuda,10,0,batch_loading,48945.001000000
cuda,10,0,training_total,660929.578000000
cuda,10,0,epoch_average,6609.295780000
cuda,10,0,batch_average,24.511050372
cuda,10,0,prediction_total,2688.372000000
cuda,10,0,cpu_gpu_transfer,31684.118000000
cuda,10,0,gpu_cpu_transfer,101.918000000
cuda,10,0,gpu_compute,627239.151000000
cuda,10,0,application_total,672068.014000000
cuda,11,0,compilation,8394.114000000
cuda,11,0,model_setup,322.934000000
cuda,11,0,batch_loading,54936.321000000
cuda,11,0,training_total,656855.608000000
cuda,11,0,epoch_average,6568.556080000
cuda,11,0,batch_average,24.348878996
cuda,11,0,prediction_total,2112.326000000
cuda,11,0,cpu_gpu_transfer,25922.282000000
cuda,11,0,gpu_cpu_transfer,74.748000000
cuda,11,0,gpu_compute,627797.681000000
cuda,11,0,application_total,666621.920000000
cuda,12,0,compilation,8351.215000000
cuda,12,0,model_setup,335.859000000
cuda,12,0,batch_loading,50667.318000000
cuda,12,0,training_total,659960.155000000
cuda,12,0,epoch_average,6599.601550000
cuda,12,0,batch_average,24.469708253
cuda,12,0,prediction_total,2163.953000000
cuda,12,0,cpu_gpu_transfer,29993.241000000
cuda,12,0,gpu_cpu_transfer,104.965000000
cuda,12,0,gpu_compute,627332.466000000
cuda,12,0,application_total,670145.237000000
cuda,13,0,compilation,8329.407000000
cuda,13,0,model_setup,328.422000000
cuda,13,0,batch_loading,48411.648000000
cuda,13,0,training_total,654664.748000000
cuda,13,0,epoch_average,6546.647480000
cuda,13,0,batch_average,24.267794721
cuda,13,0,prediction_total,2200.805000000
cuda,13,0,cpu_gpu_transfer,22348.970000000
cuda,13,0,gpu_cpu_transfer,104.907000000
cuda,13,0,gpu_compute,629307.752000000
cuda,13,0,application_total,665442.422000000
cuda,14,0,compilation,8479.705000000
cuda,14,0,model_setup,337.902000000
cuda,14,0,batch_loading,48791.208000000
cuda,14,0,training_total,655079.386000000
cuda,14,0,epoch_average,6550.793860000
