implementation,run,warmup,compile_microseconds,application_microseconds,profile_file
cuda,1,1,8966574,664905471,/workspace/reports/performance_20260703_231651/cuda/profile_1.csv
cuda,2,0,8342418,663428194,/workspace/reports/performance_20260703_231651/cuda/profile_2.csv
cuda,3,0,8518189,664285476,/workspace/reports/performance_20260703_231651/cuda/profile_3.csv
cuda,4,0,8332831,675131145,/workspace/reports/performance_20260703_231651/cuda/profile_4.csv
cuda,5,0,8313517,669292047,/workspace/reports/performance_20260703_231651/cuda/profile_5.csv
cuda,6,0,8146560,668632121,/workspace/reports/performance_20260703_231651/cuda/profile_6.csv
cuda,7,0,8522235,669530410,/workspace/reports/performance_20260703_231651/cuda/profile_7.csv
cuda,8,0,8497377,667578470,/workspace/reports/performance_20260703_231651/cuda/profile_8.csv
cuda,9,0,8368748,671443613,/workspace/reports/performance_20260703_231651/cuda/profile_9.csv
cuda,10,0,8415854,672068014,/workspace/reports/performance_20260703_231651/cuda/profile_10.csv
cuda,11,0,8394114,666621920,/workspace/reports/performance_20260703_231651/cuda/profile_11.csv
cuda,12,0,8351215,670145237,/workspace/reports/performance_20260703_231651/cuda/profile_12.csv
cuda,13,0,8329407,665442422,/workspace/reports/performance_20260703_231651/cuda/profile_13.csv
cuda,14,0,8479705,666305048,/workspace/reports/performance_20260703_231651/cuda/profile_14.csv
cuda,15,0,8370746,666968401,/workspace/reports/performance_20260703_231651/cuda/profile_15.csv
cuda,16,0,8294039,670357662,/workspace/reports/performance_20260703_231651/cuda/profile_16.csv
cuda,17,0,8417597,664692659,/workspace/reports/performance_20260703_231651/cuda/profile_17.csv
cuda,18,0,8380204,665534248,/workspace/reports/performance_20260703_231651/cuda/profile_18.csv
cuda,19,0,8386526,664683285,/workspace/reports/performance_20260703_231651/cuda/profile_19.csv
cuda,20,0,8474974,664870926,/workspace/reports/performance_20260703_231651/cuda/profile_20.csv
cuda,21,0,8583117,667673346,/workspace/reports/performance_20260703_231651/cuda/profile_21.csv
cuda,22,0,8595103,667020241,/workspace/reports/performance_20260703_231651/cuda/profile_22.csv
cuda,23,0,8451144,663001907,/workspace/reports/performance_20260703_231651/cuda/profile_23.csv
cuda,24,0,8437115,664164087,/workspace/reports/performance_20260703_231651/cuda/profile_24.csv
cuda,25,0,8613423,664752871,/workspace/reports/performance_20260703_231651/cuda/profile_25.csv
cuda,26,0,8354856,663384481,/workspace/reports/performance_20260703_231651/cuda/profile_26.csv
cuda,27,0,8442190,664070799,/workspace/reports/performance_20260703_231651/cuda/profile_27.csv
cuda,28,0,8425673,663033180,/workspace/reports/performance_20260703_231651/cuda/profile_28.csv
cuda,29,0,8254315,664822920,/workspace/reports/performance_20260703_231651/cuda/profile_29.csv
cuda,30,0,8410647,669869977,/workspace/reports/performance_20260703_231651/cuda/profile_30.csv
cuda,31,0,8592892,672180862,/workspace/reports/performance_20260703_231651/cuda/profile_31.csv
cuda,32,0,8363383,664132681,/workspace/reports/performance_20260703_231651/cuda/profile_32.csv
cuda,33,0,8543440,662111321,/workspace/reports/performance_20260703_231651/cuda/profile_33.csv
cuda,34,0,8443682,664168031,/workspace/reports/performance_20260703_231651/cuda/profile_34.csv
cuda,35,0,8518061,663172945,/workspace/reports/performance_20260703_231651/cuda/profile_35.csv
cuda,36,0,8384851,663391251,/workspace/reports/performance_20260703_231651/cuda/profile_36.csv
cuda,37,0,12496085,664181993,/workspace/reports/performance_20260703_231651/cuda/profile_37.csv
cuda,38,0,8261664,667565559,/workspace/reports/performance_20260703_231651/cuda/profile_38.csv
cuda,39,0,8450574,663162017,/workspace/reports/performance_20260703_231651/cuda/profile_39.csv
cuda,40,0,8300419,666995814,/workspace/reports/performance_20260703_231651/cuda/profile_40.csv
cuda,41,0,8446915,665136363,/workspace/reports/performance_20260703_231651/cuda/profile_41.csv
cuda,42,0,8355512,666519304,/workspace/reports/performance_20260703_231651/cuda/profile_42.csv
cuda,43,0,8422155,670359044,/workspace/reports/performance_20260703_231651/cuda/profile_43.csv
cuda,44,0,8355939,666519554,/workspace/reports/performance_20260703_231651/cuda/profile_44.csv
cuda,45,0,8305631,666289181,/workspace/reports/performance_20260703_231651/cuda/profile_45.csv
cuda,46,0,8276508,665173797,/workspace/reports/performance_20260703_231651/cuda/profile_46.csv
cuda,47,0,8311746,664597897,/workspace/reports/performance_20260703_231651/cuda/profile_47.csv
cuda,48,0,8521707,662822008,/workspace/reports/performance_20260703_231651/cuda/profile_48.csv
cuda,49,0,8216229,668422389,/workspace/reports/performance_20260703_231651/cuda/profile_49.csv
cuda,50,0,8191857,662772782,/workspace/reports/performance_20260703_231651/cuda/profile_50.csv
cuda,51,0,8237121,662958659,/workspace/reports/performance_20260703_231651/cuda/profile_51.csv
cuda,52,0,8059064,663176782,/workspace/reports/performance_20260703_231651/cuda/profile_52.csv
cuda,53,0,8196209,663287332,/workspace/reports/performance_20260703_231651/cuda/profile_53.csv
cuda,54,0,8317177,668088009,/workspace/reports/performance_20260703_231651/cuda/profile_54.csv
cuda,55,0,8318618,662973842,/workspace/reports/performance_20260703_231651/cuda/profile_55.csv
cuda,56,0,8281722,663601238,/workspace/reports/performance_20260703_231651/cuda/profile_56.csv
cuda,57,0,8342794,662790749,/workspace/reports/performance_20260703_231651/cuda/profile_57.csv
cuda,58,0,8418456,666271467,/workspace/reports/performance_20260703_231651/cuda/profile_58.csv
cuda,59,0,8152424,667589561,/workspace/reports/performance_20260703_231651/cuda/profile_59.csv
cuda,60,0,8277657,663551485,/workspace/reports/performance_20260703_231651/cuda/profile_60.csv
cuda,61,0,8557647,662994699,/workspace/reports/performance_20260703_231651/cuda/profile_61.csv
cuda,62,0,8253369,663362722,/workspace/reports/performance_20260703_231651/cuda/profile_62.csv
cuda,63,0,8163870,664674623,/workspace/reports/performance_20260703_231651/cuda/profile_63.csv
cuda,64,0,8560551,664010463,/workspace/reports/performance_20260703_231651/cuda/profile_64.csv
cuda,65,0,8328891,668097836,/workspace/reports/performance_20260703_231651/cuda/profile_65.csv
cuda,66,0,8362476,663069526,/workspace/reports/performance_20260703_231651/cuda/profile_66.csv
cuda,67,0,8191737,670720980,/workspace/reports/performance_20260703_231651/cuda/profile_67.csv
cuda,68,0,8182733,668117801,/workspace/reports/performance_20260703_231651/cuda/profile_68.csv
cuda,69,0,8341770,667532330,/workspace/reports/performance_20260703_231651/cuda/profile_69.csv
cuda,70,0,8361851,662549441,/workspace/reports/performance_20260703_231651/cuda/profile_70.csv
cuda,71,0,8281646,663924695,/workspace/reports/performance_20260703_231651/cuda/profile_71.csv
cuda,72,0,8291077,666511425,/workspace/reports/performance_20260703_231651/cuda/profile_72.csv
cuda,73,0,8246747,666862193,/workspace/reports/performance_20260703_231651/cuda/profile_73.csv
cuda,74,0,8349647,663211437,/workspace/reports/performance_20260703_231651/cuda/profile_74.csv
cuda,75,0,8263383,668570706,/workspace/reports/performance_20260703_231651/cuda/profile_75.csv
cuda,76,0,8197760,661775813,/workspace/reports/performance_20260703_231651/cuda/profile_76.csv
cuda,77,0,8183387,663537410,/workspace/reports/performance_20260703_231651/cuda/profile_77.csv
cuda,78,0,8379641,669264553,/workspace/reports/performance_20260703_231651/cuda/profile_78.csv
cuda,79,0,8557923,661926075,/workspace/reports/performance_20260703_231651/cuda/profile_79.csv
cuda,80,0,8241197,666037108,/workspace/reports/performance_20260703_231651/cuda/profile_80.csv
cuda,81,0,8252970,669959208,/workspace/reports/performance_20260703_231651/cuda/profile_81.csv
cuda,82,0,8285340,661425053,/workspace/reports/performance_20260703_231651/cuda/profile_82.csv
cuda,83,0,8015379,662012628,/workspace/reports/performance_20260703_231651/cuda/profile_83.csv
cuda,84,0,8178148,661234861,/workspace/reports/performance_20260703_231651/cuda/profile_84.csv
cuda,85,0,8097455,663153207,/workspace/reports/performance_20260703_231651/cuda/profile_85.csv
cuda,86,0,8281447,662667608,/workspace/reports/performance_20260703_231651/cuda/profile_86.csv
cuda,87,0,8405717,668626189,/workspace/reports/performance_20260703_231651/cuda/profile_87.csv
cuda,88,0,8252224,661349509,/workspace/reports/performance_20260703_231651/cuda/profile_88.csv
cuda,89,0,8116972,665154188,/workspace/reports/performance_20260703_231651/cuda/profile_89.csv
cuda,90,0,8115853,663346881,/workspace/reports/performance_20260703_231651/cuda/profile_90.csv
cuda,91,0,8336367,662622061,/workspace/reports/performance_20260703_231651/cuda/profile_91.csv
cuda,92,0,8009939,667196434,/workspace/reports/performance_20260703_231651/cuda/profile_92.csv
cuda,93,0,8209759,668612298,/workspace/reports/performance_20260703_231651/cuda/profile_93.csv
cuda,94,0,8123577,661726266,/workspace/reports/performance_20260703_231651/cuda/profile_94.csv
cuda,95,0,8937725,668403557,/workspace/reports/performance_20260703_231651/cuda/profile_95.csv
cuda,96,0,8234025,661453902,/workspace/reports/performance_20260703_231651/cuda/profile_96.csv
cuda,97,0,8285325,663734327,/workspace/reports/performance_20260703_231651/cuda/profile_97.csv
cuda,98,0,8150143,661753072,/workspace/reports/performance_20260703_231651/cuda/profile_98.csv
cuda,99,0,8284172,668793750,/workspace/reports/performance_20260703_231651/cuda/profile_99.csv
cuda,100,0,8300561,662187955,/workspace/reports/performance_20260703_231651/cuda/profile_100.csv
cuda,101,0,8494736,661042761,/workspace/reports/performance_20260703_231651/cuda/profile_101.csv
polyhok,1,1,13648000,708895942,/workspace/reports/performance_20260705_175907/polyhok/profile_1.csv
polyhok,2,0,13381466,708718584,/workspace/reports/performance_20260705_175907/polyhok/profile_2.csv
polyhok,3,0,14165594,716288126,/workspace/reports/performance_20260705_175907/polyhok/profile_3.csv
polyhok,4,0,13077378,719651971,/workspace/reports/performance_20260705_175907/polyhok/profile_4.csv
polyhok,5,0,13108052,715040868,/workspace/reports/performance_20260705_175907/polyhok/profile_5.csv
polyhok,6,0,12974815,706592054,/workspace/reports/performance_20260705_175907/polyhok/profile_6.csv
polyhok,7,0,12861075,720420317,/workspace/reports/performance_20260705_175907/polyhok/profile_7.csv
polyhok,8,0,13805173,720812234,/workspace/reports/performance_20260705_175907/polyhok/profile_8.csv
polyhok,9,0,13136845,723224270,/workspace/reports/performance_20260705_175907/polyhok/profile_9.csv
polyhok,10,0,13360536,715323790,/workspace/reports/performance_20260705_175907/polyhok/profile_10.csv
polyhok,11,0,13412557,708769193,/workspace/reports/performance_20260705_175907/polyhok/profile_11.csv
polyhok,12,0,13248139,706744746,/workspace/reports/performance_20260705_175907/polyhok/profile_12.csv
polyhok,13,0,13185962,720242414,/workspace/reports/performance_20260705_175907/polyhok/profile_13.csv
polyhok,14,0,13620200,721855865,/workspace/reports/performance_20260705_175907/polyhok/profile_14.csv
polyhok,15,0,13613036,720031790,/workspace/reports/performance_20260705_175907/polyhok/profile_15.csv
polyhok,16,0,13337637,717069779,/workspace/reports/performance_20260705_175907/polyhok/profile_16.csv
polyhok,17,0,13474457,710963944,/workspace/reports/performance_20260705_175907/polyhok/profile_17.csv
polyhok,18,0,13268403,720547185,/workspace/reports/performance_20260705_175907/polyhok/profile_18.csv
polyhok,19,0,13395514,717636536,/workspace/reports/performance_20260705_175907/polyhok/profile_19.csv
polyhok,20,0,13305836,720577101,/workspace/reports/performance_20260705_175907/polyhok/profile_20.csv
polyhok,21,0,13233809,717882283,/workspace/reports/performance_20260705_175907/polyhok/profile_21.csv
polyhok,22,0,13420466,710226312,/workspace/reports/performance_20260705_175907/polyhok/profile_22.csv
polyhok,23,0,13249598,716502216,/workspace/reports/performance_20260705_175907/polyhok/profile_23.csv
polyhok,24,0,13085310,719470638,/workspace/reports/performance_20260705_175907/polyhok/profile_24.csv
polyhok,25,0,13466331,716625268,/workspace/reports/performance_20260705_175907/polyhok/profile_25.csv
polyhok,26,0,13327922,718604245,/workspace/reports/performance_20260705_175907/polyhok/profile_26.csv
polyhok,27,0,12907573,720851354,/workspace/reports/performance_20260705_175907/polyhok/profile_27.csv
polyhok,28,0,13255062,717586840,/workspace/reports/performance_20260705_175907/polyhok/profile_28.csv
polyhok,29,0,13167085,716164313,/workspace/reports/performance_20260705_175907/polyhok/profile_29.csv
polyhok,30,0,13377582,712211161,/workspace/reports/performance_20260705_175907/polyhok/profile_30.csv
polyhok,31,0,13418127,720121532,/workspace/reports/performance_20260705_175907/polyhok/profile_31.csv
